r/R        c/R              beta
            
0.05      0.20859375      53.5
0.1       0.25859375      50.08
0.15      0.290625        45.82
0.2       0.31953125      42.1
0.25      0.334375        38.7
0.3       0.33984375      35.1
0.35      0.34375         32.1
0.4       0.3453125       29.2
0.45      0.34453125      26.2
0.5       0.34140625      23.8
0.55      0.3375          21.7
0.6       0.33125         19.4
0.65      0.3234375       17.5
0.7       0.3140625       15.6
0.75      0.30234375      13.6
0.8       0.2890625       11.9
0.85      0.27421875      10.2
0.9       0.2578125       8.4
0.95      0.23984375      6.8
1         0.21875         5.5
