r/R        c/R              beta
            
0.05      0                 53.5
0.1       0.05              50.08
0.15      0.08203125        45.82
0.2       0.1109375         42.1
0.25      0.12578125        38.7
0.3       0.13125           35.1
0.35      0.13515625        32.1
0.4       0.13671875        29.2
0.45      0.1359375         26.2
0.5       0.1328125         23.8
0.55      0.12890625        21.7
0.6       0.12265625        19.4
0.65      0.11484375        17.5
0.7       0.10546875        15.6
0.75      0.09375           13.6
0.8       0.08046875        11.9
0.85      0.065625          10.2
0.9       0.04921875        8.4
0.95      0.03125           6.8
1         0.01015625        5.5
